PID,Time,TrialIndex,SpawnIndex,AudioIndex,AudioAngle,Angle Error,Distance,Response Time,Visualisation,DistanceTravelled,StraightLineDistance,NavDistance,Effectiveness,NavSpeed
52,1637.712,34,0,0,357.4458,2.554169,2.187865,21.67871,Arrow & Radar,24.39162963,22.48018073,22.77695,0.844104527,1.050659841
52,1775.526,35,2,14,359.8265,0.1734924,0.9619544,11.30212,Arrow,8.617365098,6.303436762,6.361882,0.626633262,0.562892802
52,1791.582,36,0,4,3.677837,3.677837,2.516857,16.05615,Arrow,14.37360652,15.41171947,15.53732,0.838012154,0.967686525
52,1808.542,37,0,13,1.438135,1.438135,1.520679,16.95984,Arrow,24.68220137,22.43657643,24.23453,0.920252236,1.42893624
52,1817.191,38,1,15,1.714004,1.714004,2.406551,8.649292,Arrow,9.583345979,11.25664604,11.93059,0.798287344,1.379371861
52,1831.253,39,0,7,1.158759,1.158759,2.261851,14.06213,Arrow,16.43087749,18.25009506,18.2501,0.876063638,1.297819036
52,1859.169,40,0,9,0.008778045,0.008778045,2.495671,27.91602,Arrow,15.89467412,9.159872362,9.282323,0.426976479,0.332508825
52,1880.628,41,1,0,2.983916,2.983916,1.851738,21.45874,Arrow,34.84303962,30.08991342,30.88056,0.83313116,1.439066786
52,1962.386,42,2,13,1.392618,1.392618,3.079144,2.742554,Radar,0.056344871,3.02061583,3.020715,0,1.101424074
52,1976.4,43,0,14,0.8427365,0.8427365,1.264089,14.01453,Radar,16.82999649,14.70876836,15.26985,0.832190369,1.089572751
52,1990.355,44,2,12,0.4694696,0.4694696,1.926709,13.95459,Radar,15.58676968,16.24539704,16.37395,0.882330836,1.173373779
52,2004.241,45,1,5,357.6123,2.387726,2.443386,13.88623,Radar,15.11347226,16.18571155,16.18574,0.849040822,1.165596422
52,2016.079,46,1,8,354.8848,5.115173,2.762561,11.83777,Radar,17.33043434,19.7715506,19.77676,0.860312761,1.670649117
52,2024.403,47,2,8,354.2447,5.75528,1.80419,8.32373,Radar,4.471348683,5.935021172,5.935041,0.696010525,0.713026612
52,2039.303,48,2,16,357.3206,2.679443,1.202095,14.90039,Radar,15.67616795,14.0365272,14.78909,0.866729359,0.992530397
6,356.9347,0,0,3,1.784211,1.784211,0.8784276,19.86755,Arrow & Radar,7.437718057,5.111929384,5.111933,0.569194122,0.257300623
